CLINICA CARDIOLOGICA	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	CAMPINAS	Prata QC	AVENIDA ANDRADE NEVES 707	CENTRO	13013161	19-33428777;19-32365709;	CRM-SP
CLINICA CARDIOLOGICA DR IVAN LORENZATO	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	CAMPINAS	Prata QC	AVENIDA BARAO DE ITAPURA 1142	BOTAFOGO	13020432	19-35125150;19-35125151;19-35125010;	
CLINICA CARDIOVASCULAR GEMIGNANI	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	CAMPINAS	Prata QC	RUA BARATA RIBEIRO 530	VILA ITAPURA	13023030	19-32336104;19-33266103;19-32342707;	
CLINICA LIBERMAN	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	CAMPINAS	Prata QC	AVENIDA ANDRADE NEVES 699	CENTRO	13013161	19-32324811;19-32324811;	
CLINICA MANNINA	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	CAMPINAS	Prata QC	RUA AMELIA BUENO 159	TAQUARAL	13076050	19-33052632;19-989219616;19-994294222;	
CLINICA MEDICA CARVALHO & NASSER	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	CAMPINAS	Prata QC	RUA LUIZ SPIANDORELLI NETO 30	LOTEAMENTO PAIQUERE	13271570	19-38712540;19-38497634;19-38716457;	
CLINICA MEDICA MEDEIROS	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	CAMPINAS	Prata QC	RUA FREI ANTONIO DE PADUA 1263	JARDIM GUANABARA	13073330	19-32435917;19-32038272;19-998246994;	
DIAGNOSTICO CARDIOLOGICO	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	CAMPINAS	Prata QC	RUA DUQUE DE CAXIAS 780	CENTRO	13015311	19-37435000;19-981343576;19-21218481;19-32322616;	CRM-SP 54089
ECO CLINICA	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	CAMPINAS	Prata QC	RUA BARAO DE ATIBAIA 1192	VILA ITAPURA	13023011	19-32348476;	
INSTITUTO CARDIOLOGICO DE CAMPINAS LTDA	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	CAMPINAS	Prata QC	AVENIDA ANDRADE NEVES 655	CENTRO	13013161	19-32324200;19-35125180;	
