DIAGNOSTICO CARDIOLOGICO	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA CARDIACA	VALINHOS	RUA DUQUE DE CAXIAS 780	CENTRO	13015311	19-37435000;19-981343576;19-21218481;19-32322616;	CRM-SP 54089
DIAGNOSTICO CARDIOLOGICO	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA CARDIACA PEDIATRICA	VALINHOS	RUA DUQUE DE CAXIAS 780	CENTRO	13015311	19-37435000;19-981343576;19-21218481;19-32322616;	CRM-SP 54089
CASA DE SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA CRANIO-MAXILO-FACIAL	VALINHOS	PRAÇA DOUTOR TOFFOLI 28	CENTRO	13015240	19-37363400;	CRM-SP 149367
ASM - UNIDADE AVANCADA MADRE THEODORA	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA DE CABECA E PESCOCO	VALINHOS	AVENIDA DOUTOR MORAES SALLES 2371	NOVA CAMPINAS	13092111	19-30032704;	CRM-SP 930040
CASA DE SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA DE CABECA E PESCOCO	VALINHOS	PRAÇA DOUTOR TOFFOLI 28	CENTRO	13015240	19-37363400;	CRM-SP 149367
CLINICA DE OTORRINOLARINGOLOGIA DO INSTITUTO PENIDO BURNIER	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA DE CABECA E PESCOCO	VALINHOS	AVENIDA ANDRADE NEVES 611	CENTRO	13013160	19-37391020;	CRM-SP 61691
JOSE HENRIQUE FIGUEIREDO RACHED	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA DE COLUNA	VALINHOS	AVENIDA BARAO DE ITAPURA 385	BOTAFOGO	13020430	19-32314110;19-32349498;	CRM-SP 64247
AMIL - POLICLINICA DE VINHEDO	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA GERAL	VALINHOS	RUA MANOEL MATHEUS 1473	CENTRO	13280970	11-45831216;	
ASM - UNIDADE AVANCADA MADRE THEODORA	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA GERAL	VALINHOS	AVENIDA DOUTOR MORAES SALLES 2371	NOVA CAMPINAS	13092111	19-30032704;	CRM-SP 930040
CASA DE SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA GERAL	VALINHOS	PRAÇA DOUTOR TOFFOLI 28	CENTRO	13015240	19-37363400;	CRM-SP 149367
CENTER MED	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA GERAL	VALINHOS	RUA SANTA CRUZ 322	BARRA FUNDA	13280000	19-38264779;19-38762567;	
CLINICA AUN	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA GERAL	VALINHOS	RUA BARAO DE ATIBAIA 80	VILA ITAPURA	13023010	19-32325825;19-32327268;	CRM-SP 94323
CLINICA MEIRELLES	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA GERAL	VALINHOS	AVENIDA INDEPENDENCIA 4727	CENTRO	13280000	19-38764542;19-38763545;19-38766140;	
GRUPO SURGICAL	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA GERAL	VALINHOS	AVENIDA BARAO DE ITAPURA 2323	JARDIM GUANABARA	13073300	19-33259132;19-33957411;	
ANA PAULA CAMPOS MELRO	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA PEDIATRICA	VALINHOS	AVENIDA ANDRADE NEVES 295	CENTRO	13013160	19-35125080;	CRM-SP 82303
CASA DE SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA PEDIATRICA	VALINHOS	PRAÇA DOUTOR TOFFOLI 28	CENTRO	13015240	19-37363400;	CRM-SP 149367
AMIL - POLICLINICA DE VINHEDO	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA PLASTICA REPARADORA	VALINHOS	RUA MANOEL MATHEUS 1473	CENTRO	13280970	11-45831216;	
CASA DE SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA PLASTICA REPARADORA	VALINHOS	PRAÇA DOUTOR TOFFOLI 28	CENTRO	13015240	19-37363400;	CRM-SP 149367
CLIN FRANCO OFTALM E CIRURGIA PLASTICA	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA PLASTICA REPARADORA	VALINHOS	RUA VISCONDESSA DE CAMPINAS 45	NOVA CAMPINAS	13092135	19-30271927;	
CLINICA MEDICA E DERMATOLOGICA AVANCADA	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA PLASTICA REPARADORA	VALINHOS	RUA ITALIA 274	JARDIM RIBEIRO	13270180	19-38496221;19-33274838;	
CLINICA MEIRELLES	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA PLASTICA REPARADORA	VALINHOS	AVENIDA INDEPENDENCIA 4727	CENTRO	13280000	19-38764542;19-38763545;19-38766140;	
MARCOS MIGUEL DA SILVA	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA PLASTICA REPARADORA	VALINHOS	AVENIDA JOAO ERBOLATO 119	JARDIM CHAPADAO	13070070	19-32438315;	CRM-SP 90110
SYMCO MEDICINA	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA PLASTICA REPARADORA	VALINHOS	RUA CORONEL QUIRINO 1483	CAMBUI	13025002	19-32556764;19-994715639;	
ASM - UNIDADE AVANCADA MADRE THEODORA	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA TORACICA	VALINHOS	AVENIDA DOUTOR MORAES SALLES 2371	NOVA CAMPINAS	13092111	19-30032704;	CRM-SP 930040
CASA DE SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA TORACICA	VALINHOS	PRAÇA DOUTOR TOFFOLI 28	CENTRO	13015240	19-37363400;	CRM-SP 149367
AMIL - POLICLINICA DE VINHEDO	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	VALINHOS	RUA MANOEL MATHEUS 1473	CENTRO	13280970	11-45831216;	
ASM - UNIDADE AVANCADA MADRE THEODORA	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	VALINHOS	AVENIDA DOUTOR MORAES SALLES 2371	NOVA CAMPINAS	13092111	19-30032704;	CRM-SP 930040
CASA DE SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	VALINHOS	PRAÇA DOUTOR TOFFOLI 28	CENTRO	13015240	19-37363400;	CRM-SP 149367
CENTRO MEDICO HOMEOPATICO DE CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	VALINHOS	RUA CAMARGO PAES 642	JARDIM GUANABARA	13073350	19-32335513;	
CI - SANTA CLARA	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	VALINHOS	AVENIDA FRANCISCO GLICERIO 1867	CENTRO	13012000	19-32341187;	
CLINICA LIBERMAN	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	VALINHOS	AVENIDA ANDRADE NEVES 699	CENTRO	13013161	19-32324811;19-32324811;	
CLINICA MEDICA E DERMATOLOGICA AVANCADA	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	VALINHOS	RUA ITALIA 274	JARDIM RIBEIRO	13270180	19-38496221;19-33274838;	
CLINICA MEDICA MEDEIROS	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	VALINHOS	RUA FREI ANTONIO DE PADUA 1263	JARDIM GUANABARA	13073330	19-32435917;19-32038272;19-998246994;	
CONEXA SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	VALINHOS	RUA ATENDIMENTO EXCLUSIVO ON-LINE	VILA ITAPURA	13023200		CRM-SP 1006122
DULCE CORREA MAMPRIM PILOTO	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	VALINHOS	AVENIDA ANDRADE NEVES 699	CENTRO	13013161	19-21218044;	CRM-SP 39120
EDMED SAUDE OCUPACIONAL	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	VALINHOS	RUA DAS ANDORINHAS 191	CENTRO	13280000	19-38763053;19-38765266;	
PERSONAL MED CENTER	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	VALINHOS	RUA MARIA MONTEIRO 1060	CAMBUI	13025151	19-32353653;	
SYMCO MEDICINA	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	VALINHOS	RUA CORONEL QUIRINO 1483	CAMBUI	13025002	19-32556764;19-994715639;	
TEMPO MEDICINA DE FAMILIA	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	VALINHOS	RUA ATENDIMENTO EXCLUSIVO ON-LINE	VILA ITAPURA	13023200		CRM-PR 40626
THELMA ELAINE BRASILEIRO	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	VALINHOS	RUA FRANCISCO ALVES 56	BOTAFOGO	13020380	19-33881943;19-25121941;	CRM-SP 104938
AMIL - POLICLINICA DE VINHEDO	CONSULTORIOS - CLINICAS - TERAPIAS	DERMATOLOGIA	VALINHOS	RUA MANOEL MATHEUS 1473	CENTRO	13280970	11-45831216;	
ASM - UNIDADE AVANCADA MADRE THEODORA	CONSULTORIOS - CLINICAS - TERAPIAS	DERMATOLOGIA	VALINHOS	AVENIDA DOUTOR MORAES SALLES 2371	NOVA CAMPINAS	13092111	19-30032704;	CRM-SP 930040
CASA DE SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	DERMATOLOGIA	VALINHOS	PRAÇA DOUTOR TOFFOLI 28	CENTRO	13015240	19-37363400;	CRM-SP 149367
CLINICA MEDICA E DERMATOLOGICA AVANCADA	CONSULTORIOS - CLINICAS - TERAPIAS	DERMATOLOGIA	VALINHOS	RUA ITALIA 274	JARDIM RIBEIRO	13270180	19-38496221;19-33274838;	
